indicator,severity,description,source_feed,reference,type
lender-router-exclusively-fraction.trycloudflare.com,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555579/,domain
www.alexisranayllc.com,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555572/,domain
alexisranayllc.com,HIGH,URLhaus: malware_download (jar),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555542/,domain
www.alexisranayllc.com,HIGH,URLhaus: malware_download (jar),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555543/,domain
alexisranayllc.com,HIGH,URLhaus: malware_download (jar),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555544/,domain
www.vacconnect.com,HIGH,URLhaus: malware_download (NetSupport),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555413/,domain
www.vacconnect.com,HIGH,URLhaus: malware_download (NetSupport),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555414/,domain
www.vacconnect.com,HIGH,URLhaus: malware_download (NetSupport),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555412/,domain
piratiserver.privatedns.org,HIGH,"URLhaus: malware_download (botnetdomain,censys,elf,mirai,ua-wget,WebServerPirata,xmrig)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555258/,domain
raw.githubusercontent.com,HIGH,URLhaus: malware_download (Braodo),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555200/,domain
raw.githubusercontent.com,HIGH,URLhaus: malware_download (Braodo),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555199/,domain
github.com,HIGH,URLhaus: malware_download (Braodo),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555197/,domain
github.com,HIGH,URLhaus: malware_download (Braodo),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555198/,domain
github.com,HIGH,URLhaus: malware_download (Braodo),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555196/,domain
raw.githubusercontent.com,HIGH,URLhaus: malware_download (Braodo),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555195/,domain
github.com,HIGH,URLhaus: malware_download (Braodo),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555194/,domain
raw.githubusercontent.com,HIGH,URLhaus: malware_download (Braodo),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555191/,domain
github.com,HIGH,"URLhaus: malware_download (exe,Ransomware,wannacry)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555192/,domain
github.com,HIGH,URLhaus: malware_download (Braodo),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555193/,domain
dn721700.ca.archive.org,HIGH,"URLhaus: malware_download (javascriptplugin,jpg-base64-loader)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555062/,domain
github.com,HIGH,"URLhaus: malware_download (lua,SmartLoader,zip)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555041/,domain
bvu.oss-ap-southeast-6.aliyuncs.com,HIGH,URLhaus: malware_download (exe),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3555023/,domain
celebratingseniors.net,HIGH,URLhaus: malware_download (NetSupport),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554430/,domain
celebratingseniors.net,HIGH,URLhaus: malware_download (NetSupport),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554345/,domain
celebratingseniors.net,HIGH,URLhaus: malware_download (NetSupport),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3554334/,domain
kristalzemin.com,HIGH,"URLhaus: malware_download (encrypted,GuLoader,rat,RemcosRAT)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3553641/,domain
kristalzemin.com,HIGH,"URLhaus: malware_download (ascii,Encoded,GuLoader,rat,RemcosRAT)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3553640/,domain
medthermography.com,HIGH,URLhaus: malware_download (NetSupport),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3553627/,domain
windomstatetheater.com,HIGH,URLhaus: malware_download (NetSupport),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3553629/,domain
medthermography.com,HIGH,URLhaus: malware_download (NetSupport),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3553630/,domain
jakestrack.com,HIGH,URLhaus: malware_download (NetSupport),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3553631/,domain
medthermography.com,HIGH,URLhaus: malware_download (NetSupport),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3553632/,domain
windomstatetheater.com,HIGH,URLhaus: malware_download (NetSupport),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3553633/,domain
medthermography.com,HIGH,URLhaus: malware_download (NetSupport),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3553626/,domain
jakestrack.com,HIGH,URLhaus: malware_download (NetSupport),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3553619/,domain
windomstatetheater.com,HIGH,URLhaus: malware_download (NetSupport),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3553609/,domain
www.anonfile.la,HIGH,"URLhaus: malware_download (ascii,Encoded,rat,RemcosRAT,rev-base64-loader)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3553462/,domain
dn721902.ca.archive.org,HIGH,"URLhaus: malware_download (jpg-base64-loader,stego)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3553443/,domain
