indicator,severity,description,source_feed,reference,type
141.11.167.189,HIGH,"URLhaus: malware_download (elf,gafgyt,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556294/,ip
185.12.204.60,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556270/,ip
185.12.204.60,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556271/,ip
185.12.204.60,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556272/,ip
185.12.204.60,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556273/,ip
185.12.204.60,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556274/,ip
185.12.204.60,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556275/,ip
185.12.204.60,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556276/,ip
185.12.204.60,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556277/,ip
185.12.204.60,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556278/,ip
185.12.204.60,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556279/,ip
121.127.34.150,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556280/,ip
185.12.204.60,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556281/,ip
185.12.204.60,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556282/,ip
141.11.167.189,HIGH,"URLhaus: malware_download (elf,gafgyt,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556284/,ip
141.11.167.189,HIGH,"URLhaus: malware_download (elf,gafgyt,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556285/,ip
141.11.167.189,HIGH,"URLhaus: malware_download (elf,gafgyt,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556286/,ip
141.11.167.189,HIGH,"URLhaus: malware_download (elf,gafgyt,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556287/,ip
141.11.167.189,HIGH,"URLhaus: malware_download (elf,gafgyt,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556288/,ip
141.11.167.189,HIGH,"URLhaus: malware_download (elf,gafgyt,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556289/,ip
141.11.167.189,HIGH,"URLhaus: malware_download (elf,gafgyt,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556290/,ip
141.11.167.189,HIGH,"URLhaus: malware_download (elf,gafgyt,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556291/,ip
141.11.167.189,HIGH,"URLhaus: malware_download (elf,gafgyt,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556292/,ip
141.11.167.189,HIGH,"URLhaus: malware_download (elf,gafgyt,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556293/,ip
185.156.72.2,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556269/,ip
121.127.34.150,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556249/,ip
121.127.34.150,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556250/,ip
121.127.34.150,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556251/,ip
121.127.34.150,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556252/,ip
121.127.34.150,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556253/,ip
