indicator,severity,description,source_feed,reference
storage.soowim.co.kr,HIGH,Domain hosting: URLhaus: malware_download (exe),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3198884/
storage.soowim.co.kr,HIGH,"Domain hosting: URLhaus: malware_download (BABADEDA,exe)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3198881/
storage.soowim.co.kr,HIGH,"Domain hosting: URLhaus: malware_download (BABADEDA,exe)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3198873/
storage.soowim.co.kr,HIGH,Domain hosting: URLhaus: malware_download (exe),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3198849/
storage.soowim.co.kr,HIGH,Domain hosting: URLhaus: malware_download (exe),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3198759/
storage.soowim.co.kr,HIGH,Domain hosting: URLhaus: malware_download (exe),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3198713/
storage.soowim.co.kr,HIGH,Domain hosting: URLhaus: malware_download (exe),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3198703/
raw.githubusercontent.com,HIGH,Domain hosting: URLhaus: malware_download (cmd),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3193861/
evangroup.ru,HIGH,Domain hosting: URLhaus: malware_download (js),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3193548/
raw.githubusercontent.com,HIGH,"Domain hosting: URLhaus: malware_download (BlankGrabber,exe)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3189225/
raw.githubusercontent.com,HIGH,"Domain hosting: URLhaus: malware_download (besttrace,trojan.multiverze)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3188034/
sms-szfang.com,HIGH,"Domain hosting: URLhaus: malware_download (exe,PureLogStealer,RedLineStealer)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3187553/
down.fwqlt.com,HIGH,"Domain hosting: URLhaus: malware_download (hacktool,iso,KMSAuto,opendir)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3186441/
down.fwqlt.com,HIGH,"Domain hosting: URLhaus: malware_download (hacktool,iso,KMSAuto,opendir)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3186440/
down.fwqlt.com,HIGH,"Domain hosting: URLhaus: malware_download (hacktool,iso,KMSAuto,opendir)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3186439/
down.fwqlt.com,HIGH,"Domain hosting: URLhaus: malware_download (hacktool,iso,KMSAuto,opendir)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3186430/
down.fwqlt.com,HIGH,"Domain hosting: URLhaus: malware_download (hacktool,KMSAuto,opendir,zip)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3186428/
raw.githubusercontent.com,HIGH,Domain hosting: URLhaus: malware_download (ps),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3174523/
tecunonline.com,HIGH,"Domain hosting: URLhaus: malware_download (apk ,ua-get)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3174364/
github.com,HIGH,Domain hosting: URLhaus: malware_download (NukeSpeed),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3172240/
download.cudo.org,HIGH,Domain hosting: URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3169080/
raw.githubusercontent.com,HIGH,"Domain hosting: URLhaus: malware_download (DiscordGrabber,js,stealer)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3154718/
raw.githubusercontent.com,HIGH,Domain hosting: URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3135722/
raw.githubusercontent.com,HIGH,Domain hosting: URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3135724/
raw.githubusercontent.com,HIGH,Domain hosting: URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3135725/
epanpano.com,HIGH,"Domain hosting: URLhaus: malware_download (AgentTesla,base64,keylogger,rev-base64-loader)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3135613/
soft.wsyhn.com,HIGH,"Domain hosting: URLhaus: malware_download (exe,Socks5Systemz)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3134374/
down.qqfarmer.com.cn,HIGH,"Domain hosting: URLhaus: malware_download (AZORult,exe)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3134371/
cdn.ly.9377.com,HIGH,Domain hosting: URLhaus: malware_download (exe),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3134368/
ini.sh-pp.com,HIGH,Domain hosting: URLhaus: malware_download (exe),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3129592/
cs.go.kg,HIGH,Domain hosting: URLhaus: malware_download (exe),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3129577/
down10d.zol.com.cn,HIGH,Domain hosting: URLhaus: malware_download (exe),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3129478/
www.medises.co.kr,HIGH,Domain hosting: URLhaus: malware_download (exe),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3129417/
adf6.adf6.com,HIGH,Domain hosting: URLhaus: malware_download (exe),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3129223/
raw.githubusercontent.com,HIGH,"Domain hosting: URLhaus: malware_download (BlankGrabber,exe,QuasarRAT)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3129042/
jahez.me,HIGH,Domain hosting: URLhaus: malware_download (GuLoader),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3121905/
jahez.me,HIGH,"Domain hosting: URLhaus: malware_download (encrypted,GuLoader)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3121906/
ldcdn.ldmnq.com,HIGH,"Domain hosting: URLhaus: malware_download (adware,yandex)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3120496/
uyul.oss-cn-beijing.aliyuncs.com,HIGH,Domain hosting: URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3109981/
uyul.oss-cn-beijing.aliyuncs.com,HIGH,Domain hosting: URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3109982/
uyul.oss-cn-beijing.aliyuncs.com,HIGH,Domain hosting: URLhaus: malware_download (dll),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3109980/
raw.githubusercontent.com,HIGH,Domain hosting: URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3108504/
raw.githubusercontent.com,HIGH,Domain hosting: URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3108505/
raw.githubusercontent.com,HIGH,Domain hosting: URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3108506/
raw.githubusercontent.com,HIGH,Domain hosting: URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3108507/
